Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,11000,0,110,0,11000,0
1,59000,0,590,0,59000,0
2,273500,0,2735,0,273500,0
3,0,0,0,0,0,0
4,432500,0,36765,0,432500,0
5,0,0,0,0,0,0

